Data,Temperatura,Umidità
03.09.2022 16:00,24.6,50
03.09.2022 15:00,25.1,53
03.09.2022 14:00,23.1,54
03.09.2022 13:00,22.5,53
03.09.2022 12:00,22.7,55
03.09.2022 11:00,22.2,55
03.09.2022 10:00,21.9,58
03.09.2022 09:00,21.3,63
03.09.2022 08:00,19.4,79
03.09.2022 07:00,18.9,82
03.09.2022 06:00,19.2,74
03.09.2022 05:00,19.7,66
03.09.2022 04:00,20.6,68
03.09.2022 03:00,20.1,67
03.09.2022 02:00,20.3,66
03.09.2022 01:00,20.1,74
03.09.2022 00:00,20.0,74
02.09.2022 23:00,19.8,76
02.09.2022 22:00,20.8,73
02.09.2022 21:00,20.6,73
02.09.2022 20:00,23.3,57
02.09.2022 19:00,24.1,51
02.09.2022 18:00,25.2,46
02.09.2022 17:00,25.3,45
02.09.2022 16:00,25.2,47
02.09.2022 15:00,24.8,55
02.09.2022 14:00,24.4,46
02.09.2022 13:00,24.3,52
02.09.2022 12:00,23.1,53
02.09.2022 11:00,22.8,53
02.09.2022 10:00,21.8,56
02.09.2022 09:00,20.1,71
02.09.2022 08:00,17.8,86
02.09.2022 07:00,17.8,86
02.09.2022 06:00,17.8,89
02.09.2022 05:00,18.6,84
02.09.2022 04:00,18.7,84
02.09.2022 03:00,19.1,75
02.09.2022 02:00,20.0,74
02.09.2022 01:00,20.4,76
02.09.2022 00:00,20.2,81
01.09.2022 23:00,21.3,67
01.09.2022 22:00,21.6,68
01.09.2022 21:00,20.7,82
01.09.2022 20:00,22.9,62
01.09.2022 19:00,23.7,56
01.09.2022 18:00,25.4,54
01.09.2022 17:00,25.7,55
01.09.2022 16:00,24.2,63
01.09.2022 15:00,23.4,64
01.09.2022 14:00,24.1,61
01.09.2022 13:00,24.4,67
01.09.2022 12:00,22.8,74
01.09.2022 11:00,20.9,82
01.09.2022 10:00,20.3,80
01.09.2022 09:00,21.6,71
01.09.2022 08:00,19.9,77
01.09.2022 07:00,18.7,82
01.09.2022 06:00,18.3,84
01.09.2022 05:00,18.6,85
01.09.2022 04:00,19.0,83
01.09.2022 03:00,19.0,83
01.09.2022 02:00,19.3,81
01.09.2022 01:00,20.3,81
01.09.2022 00:00,20.8,83
31.08.2022 23:00,21.5,79
31.08.2022 22:00,21.4,71
31.08.2022 21:00,23.0,76
31.08.2022 20:00,23.7,68
31.08.2022 19:00,25.0,63
31.08.2022 18:00,25.8,57
31.08.2022 17:00,26.2,60
31.08.2022 16:00,25.6,59
31.08.2022 15:00,25.5,58
31.08.2022 14:00,25.3,62
31.08.2022 13:00,25.1,62
31.08.2022 12:00,23.3,70
31.08.2022 11:00,21.9,80
31.08.2022 10:00,20.7,80
31.08.2022 09:00,21.0,79
31.08.2022 08:00,19.1,88
31.08.2022 07:00,17.3,92
31.08.2022 06:00,17.6,93
31.08.2022 05:00,17.7,94
31.08.2022 04:00,18.2,90
31.08.2022 03:00,18.4,88
31.08.2022 02:00,18.5,93
31.08.2022 01:00,18.9,90
31.08.2022 00:00,19.3,89
30.08.2022 23:00,19.6,88
30.08.2022 22:00,19.8,86
30.08.2022 21:00,21.8,66
30.08.2022 20:00,23.6,58
30.08.2022 19:00,25.4,57
30.08.2022 18:00,27.9,56
30.08.2022 17:00,27.4,57
30.08.2022 16:00,27.6,57
30.08.2022 15:00,27.2,57
30.08.2022 14:00,26.4,61
30.08.2022 13:00,26.1,62
30.08.2022 12:00,26.2,60
30.08.2022 11:00,25.9,65
30.08.2022 10:00,25.4,71
30.08.2022 09:00,24.7,70
30.08.2022 08:00,21.9,80
30.08.2022 07:00,21.7,79
30.08.2022 06:00,21.8,81
30.08.2022 05:00,21.8,78
30.08.2022 04:00,21.4,81
30.08.2022 03:00,21.9,78
30.08.2022 02:00,22.3,77
30.08.2022 01:00,22.3,76
30.08.2022 00:00,21.6,81
29.08.2022 23:00,22.7,77
29.08.2022 22:00,23.0,76
29.08.2022 21:00,23.4,73
29.08.2022 20:00,27.4,54
29.08.2022 19:00,29.2,46
29.08.2022 18:00,29.9,44
29.08.2022 17:00,30.0,45
29.08.2022 16:00,29.4,48
29.08.2022 15:00,28.7,53
29.08.2022 14:00,27.6,59
29.08.2022 13:00,27.1,58
29.08.2022 12:00,26.0,60
29.08.2022 11:00,25.1,69
29.08.2022 10:00,24.4,73
29.08.2022 09:00,22.2,77
29.08.2022 08:00,19.3,87
29.08.2022 07:00,18.7,90
29.08.2022 06:00,19.0,87
29.08.2022 05:00,19.5,83
29.08.2022 04:00,19.6,86
29.08.2022 03:00,20.0,90
29.08.2022 02:00,19.6,93
29.08.2022 01:00,22.6,74
29.08.2022 00:00,22.8,74
28.08.2022 23:00,22.2,74
28.08.2022 22:00,23.7,71
28.08.2022 21:00,24.4,68
28.08.2022 20:00,25.2,63
28.08.2022 19:00,27.5,55
28.08.2022 18:00,29.1,46
28.08.2022 17:00,29.5,44
28.08.2022 16:00,28.8,50
28.08.2022 15:00,28.8,49
28.08.2022 14:00,27.3,56
28.08.2022 13:00,26.9,59
28.08.2022 12:00,26.1,61
28.08.2022 11:00,24.7,59
28.08.2022 10:00,24.3,61
28.08.2022 09:00,22.5,68
28.08.2022 08:00,20.2,78
28.08.2022 07:00,18.5,82
28.08.2022 06:00,18.5,84
28.08.2022 05:00,18.9,83
28.08.2022 04:00,18.9,83
28.08.2022 03:00,19.1,82
28.08.2022 02:00,19.6,81
28.08.2022 01:00,19.9,80
28.08.2022 00:00,20.0,82
27.08.2022 23:00,20.8,82
27.08.2022 22:00,22.6,70
27.08.2022 21:00,23.6,66
27.08.2022 20:00,24.3,64
27.08.2022 19:00,25.7,55
27.08.2022 18:00,26.4,49
27.08.2022 17:00,26.1,52
27.08.2022 16:00,26.4,50
27.08.2022 15:00,26.2,50
27.08.2022 14:00,25.9,52
27.08.2022 13:00,24.3,59
27.08.2022 12:00,21.2,75
27.08.2022 11:00,19.9,81
27.08.2022 10:00,19.2,83
27.08.2022 09:00,18.6,88
27.08.2022 08:00,19.1,82
27.08.2022 07:00,22.0,59
27.08.2022 06:00,22.4,56
27.08.2022 05:00,22.7,52
27.08.2022 04:00,22.2,67
27.08.2022 03:00,22.0,71
27.08.2022 02:00,22.4,72
27.08.2022 01:00,23.1,67
27.08.2022 00:00,22.8,69
26.08.2022 23:00,23.6,65
26.08.2022 22:00,23.2,67
26.08.2022 21:00,26.0,53
26.08.2022 20:00,27.5,54
26.08.2022 19:00,30.1,42
26.08.2022 18:00,30.5,43
26.08.2022 17:00,30.1,45
26.08.2022 16:00,29.6,44
26.08.2022 15:00,30.4,45
26.08.2022 14:00,30.2,44
26.08.2022 13:00,28.4,47
26.08.2022 12:00,27.9,49
26.08.2022 11:00,26.7,56
26.08.2022 10:00,26.6,52
26.08.2022 09:00,24.8,60
26.08.2022 08:00,22.7,66
26.08.2022 07:00,21.2,68
26.08.2022 06:00,21.7,65
26.08.2022 05:00,22.6,62
26.08.2022 04:00,21.5,67
26.08.2022 03:00,21.7,67
26.08.2022 02:00,21.4,69
26.08.2022 01:00,21.4,70
26.08.2022 00:00,22.1,67
25.08.2022 23:00,23.9,59
25.08.2022 22:00,24.3,58
25.08.2022 21:00,24.8,54
25.08.2022 20:00,28.4,42
25.08.2022 19:00,29.5,39
25.08.2022 18:00,30.3,36
25.08.2022 17:00,30.5,37
25.08.2022 16:00,30.7,39
25.08.2022 15:00,30.6,39
25.08.2022 14:00,29.7,42
25.08.2022 13:00,28.9,41
25.08.2022 12:00,28.4,47
25.08.2022 11:00,27.0,50
25.08.2022 10:00,25.8,50
25.08.2022 09:00,24.5,58
25.08.2022 08:00,21.3,71
25.08.2022 07:00,19.9,72
25.08.2022 06:00,19.4,74
25.08.2022 05:00,20.2,71
25.08.2022 04:00,20.6,70
25.08.2022 03:00,20.6,70
25.08.2022 02:00,21.0,69
25.08.2022 01:00,21.2,69
25.08.2022 00:00,21.4,68
24.08.2022 23:00,22.0,67
24.08.2022 22:00,22.6,64
24.08.2022 21:00,24.0,57
24.08.2022 20:00,27.0,46
24.08.2022 19:00,27.9,43
24.08.2022 18:00,28.8,43
24.08.2022 17:00,28.5,41
24.08.2022 16:00,28.3,41
24.08.2022 15:00,28.3,45
24.08.2022 14:00,27.8,45
24.08.2022 13:00,27.1,45
24.08.2022 12:00,27.0,46
24.08.2022 11:00,26.1,47
24.08.2022 10:00,25.4,49
24.08.2022 09:00,23.5,57
24.08.2022 08:00,20.7,68
24.08.2022 07:00,18.3,73
24.08.2022 06:00,18.3,73
24.08.2022 05:00,18.5,72
24.08.2022 04:00,18.5,71
24.08.2022 03:00,19.1,69
24.08.2022 02:00,19.5,67
24.08.2022 01:00,19.5,69
24.08.2022 00:00,21.6,57
23.08.2022 23:00,20.9,63
23.08.2022 22:00,22.2,58
23.08.2022 21:00,24.6,43
23.08.2022 20:00,26.4,37
23.08.2022 19:00,28.6,36
23.08.2022 18:00,29.3,37
23.08.2022 17:00,29.5,31
23.08.2022 16:00,29.4,35
23.08.2022 15:00,29.1,37
23.08.2022 14:00,28.2,40
23.08.2022 13:00,27.9,41
23.08.2022 12:00,26.6,43
23.08.2022 11:00,25.3,48
23.08.2022 10:00,24.4,48
23.08.2022 09:00,23.6,58
23.08.2022 08:00,20.8,65
23.08.2022 07:00,19.2,69
23.08.2022 06:00,19.7,68
23.08.2022 05:00,20.1,66
23.08.2022 04:00,20.2,67
23.08.2022 03:00,21.2,64
23.08.2022 02:00,21.1,64
23.08.2022 01:00,21.1,66
23.08.2022 00:00,21.3,65
22.08.2022 23:00,21.5,66
22.08.2022 22:00,23.0,60
22.08.2022 21:00,24.0,60
22.08.2022 20:00,27.5,41
22.08.2022 19:00,28.5,39
22.08.2022 18:00,28.9,39
22.08.2022 17:00,29.8,37
22.08.2022 16:00,29.5,35
22.08.2022 15:00,28.9,37
22.08.2022 14:00,28.1,40
22.08.2022 13:00,27.5,42
22.08.2022 12:00,27.2,45
22.08.2022 11:00,26.3,44
22.08.2022 10:00,25.7,46
22.08.2022 09:00,23.9,61
22.08.2022 08:00,20.3,67
22.08.2022 07:00,19.2,71
22.08.2022 06:00,19.2,70
22.08.2022 05:00,20.2,65
22.08.2022 04:00,19.8,68
22.08.2022 03:00,19.9,68
22.08.2022 02:00,20.4,67
22.08.2022 01:00,21.2,65
22.08.2022 00:00,21.5,64
21.08.2022 23:00,21.2,67
21.08.2022 22:00,21.8,65
21.08.2022 21:00,24.5,53
21.08.2022 20:00,27.4,37
21.08.2022 19:00,28.9,36
21.08.2022 18:00,29.3,37
21.08.2022 17:00,30.0,36
21.08.2022 16:00,29.5,37
21.08.2022 15:00,29.1,39
21.08.2022 14:00,28.8,36
21.08.2022 13:00,28.3,41
21.08.2022 12:00,28.0,41
21.08.2022 11:00,26.9,40
21.08.2022 10:00,26.1,43
21.08.2022 09:00,23.9,58
21.08.2022 08:00,21.2,64
21.08.2022 07:00,18.5,74
21.08.2022 06:00,18.7,76
21.08.2022 05:00,20.1,67
21.08.2022 04:00,19.9,72
21.08.2022 03:00,20.8,70
21.08.2022 02:00,20.8,72
21.08.2022 01:00,21.5,70
21.08.2022 00:00,21.7,71
20.08.2022 23:00,22.4,68
20.08.2022 22:00,22.7,69
20.08.2022 21:00,24.6,62
20.08.2022 20:00,27.2,47
20.08.2022 19:00,28.8,44
20.08.2022 18:00,29.6,39
20.08.2022 17:00,29.9,41
20.08.2022 16:00,29.6,43
20.08.2022 15:00,29.1,41
20.08.2022 14:00,28.3,48
20.08.2022 13:00,27.9,48
20.08.2022 12:00,27.1,45
20.08.2022 11:00,25.5,55
20.08.2022 10:00,23.9,68
20.08.2022 09:00,21.5,72
20.08.2022 08:00,19.6,74
20.08.2022 07:00,17.2,90
20.08.2022 06:00,17.0,92
20.08.2022 05:00,17.8,90
20.08.2022 04:00,19.1,87
20.08.2022 03:00,19.4,88
20.08.2022 02:00,19.7,91
20.08.2022 01:00,19.9,90
20.08.2022 00:00,20.1,92
19.08.2022 23:00,20.1,89
19.08.2022 22:00,20.5,89
19.08.2022 21:00,21.0,91
19.08.2022 20:00,21.6,87
19.08.2022 19:00,25.4,60
19.08.2022 18:00,25.6,58
19.08.2022 17:00,26.5,55
19.08.2022 16:00,25.5,62
19.08.2022 15:00,24.7,64
19.08.2022 14:00,22.6,72
19.08.2022 13:00,21.8,75
19.08.2022 12:00,20.4,84
19.08.2022 11:00,19.5,88
19.08.2022 10:00,18.6,92
19.08.2022 09:00,18.5,93
19.08.2022 08:00,19.7,85
19.08.2022 07:00,18.5,89
19.08.2022 06:00,18.1,90
19.08.2022 05:00,17.9,90
19.08.2022 04:00,18.0,87
19.08.2022 03:00,17.9,89
19.08.2022 02:00,18.2,88
19.08.2022 01:00,18.8,87
19.08.2022 00:00,18.8,87
18.08.2022 23:00,18.4,92
18.08.2022 22:00,18.9,90
18.08.2022 21:00,20.0,87
18.08.2022 20:00,20.7,86
18.08.2022 19:00,21.0,88
18.08.2022 18:00,21.2,84
18.08.2022 17:00,20.9,90
18.08.2022 16:00,21.0,86
18.08.2022 15:00,20.8,90
18.08.2022 14:00,19.6,95
18.08.2022 13:00,19.6,94
18.08.2022 12:00,20.3,90
18.08.2022 11:00,20.6,87
18.08.2022 10:00,22.2,72
18.08.2022 09:00,19.8,90
18.08.2022 08:00,20.4,89
18.08.2022 07:00,20.9,79
18.08.2022 06:00,20.7,84
18.08.2022 05:00,21.3,81
18.08.2022 04:00,20.7,84
18.08.2022 03:00,21.0,81
18.08.2022 02:00,20.8,88
18.08.2022 01:00,21.1,92
18.08.2022 00:00,22.0,87
17.08.2022 23:00,21.7,85
17.08.2022 22:00,21.9,85
17.08.2022 21:00,22.4,86
17.08.2022 20:00,24.4,79
17.08.2022 19:00,24.1,81
17.08.2022 18:00,26.0,69
17.08.2022 17:00,27.6,54
17.08.2022 16:00,27.8,52
17.08.2022 15:00,28.2,52
17.08.2022 14:00,28.1,56
17.08.2022 13:00,27.5,57
17.08.2022 12:00,26.0,59
17.08.2022 11:00,25.4,60
17.08.2022 10:00,25.1,66
17.08.2022 09:00,24.5,63
17.08.2022 08:00,22.7,70
17.08.2022 07:00,21.1,75
17.08.2022 06:00,21.2,74
17.08.2022 05:00,21.8,69
17.08.2022 04:00,22.1,72
17.08.2022 03:00,22.4,70
17.08.2022 02:00,22.0,77
17.08.2022 01:00,21.8,84
17.08.2022 00:00,23.3,69
16.08.2022 23:00,23.2,70
16.08.2022 22:00,23.3,72
16.08.2022 21:00,24.7,62
16.08.2022 20:00,27.9,49
16.08.2022 19:00,28.5,49
16.08.2022 18:00,28.9,46
16.08.2022 17:00,29.3,45
16.08.2022 16:00,29.1,46
16.08.2022 15:00,28.1,51
16.08.2022 14:00,26.6,54
16.08.2022 13:00,26.3,59
16.08.2022 12:00,25.7,57
16.08.2022 11:00,24.4,58
16.08.2022 10:00,23.2,64
16.08.2022 09:00,22.1,66
16.08.2022 08:00,20.0,76
16.08.2022 07:00,18.7,78
16.08.2022 06:00,18.0,82
16.08.2022 05:00,18.3,83
16.08.2022 04:00,18.6,88
16.08.2022 03:00,19.4,78
16.08.2022 02:00,19.5,81
16.08.2022 01:00,19.8,77
16.08.2022 00:00,20.7,72
15.08.2022 23:00,20.0,82
15.08.2022 22:00,19.5,84
15.08.2022 21:00,19.1,84
15.08.2022 20:00,27.3,51
15.08.2022 19:00,29.1,41
15.08.2022 18:00,28.6,44
15.08.2022 17:00,29.9,39
15.08.2022 16:00,29.7,40
15.08.2022 15:00,28.7,43
15.08.2022 14:00,28.3,43
15.08.2022 13:00,27.2,48
15.08.2022 12:00,27.1,45
15.08.2022 11:00,25.9,45
15.08.2022 10:00,25.3,44
15.08.2022 09:00,25.4,53
15.08.2022 08:00,20.9,70
15.08.2022 07:00,19.6,70
15.08.2022 06:00,19.9,69
15.08.2022 05:00,20.5,67
15.08.2022 04:00,21.3,65
15.08.2022 03:00,22.0,63
15.08.2022 02:00,21.8,65
15.08.2022 01:00,22.2,62
15.08.2022 00:00,23.0,59
14.08.2022 23:00,24.6,49
14.08.2022 22:00,25.5,47
14.08.2022 21:00,25.9,46
14.08.2022 20:00,26.9,41
14.08.2022 19:00,27.7,39
14.08.2022 18:00,28.6,34
14.08.2022 17:00,29.3,34
14.08.2022 16:00,28.8,35
14.08.2022 15:00,27.9,36
14.08.2022 14:00,28.0,32
14.08.2022 13:00,27.6,38
14.08.2022 12:00,27.1,38
14.08.2022 11:00,25.9,43
14.08.2022 10:00,24.7,45
14.08.2022 09:00,23.0,57
14.08.2022 08:00,19.9,65
14.08.2022 07:00,17.8,72
14.08.2022 06:00,17.3,71
14.08.2022 05:00,18.7,65
14.08.2022 04:00,18.4,66
14.08.2022 03:00,19.0,67
14.08.2022 02:00,19.7,64
14.08.2022 01:00,20.0,63
14.08.2022 00:00,20.0,65
13.08.2022 23:00,21.3,59
13.08.2022 22:00,22.4,53
13.08.2022 21:00,22.8,58
13.08.2022 20:00,25.8,40
13.08.2022 19:00,26.8,36
13.08.2022 18:00,27.2,33
13.08.2022 17:00,27.6,35
13.08.2022 16:00,27.6,36
13.08.2022 15:00,26.8,33
13.08.2022 14:00,26.5,36
13.08.2022 13:00,25.7,39
13.08.2022 12:00,24.8,40
13.08.2022 11:00,23.8,50
13.08.2022 10:00,22.1,54
13.08.2022 09:00,20.6,66
13.08.2022 08:00,18.0,81
13.08.2022 07:00,16.5,88
13.08.2022 06:00,16.2,94
13.08.2022 05:00,16.8,90
13.08.2022 04:00,17.5,89
13.08.2022 03:00,16.9,87
13.08.2022 02:00,17.5,89
13.08.2022 01:00,17.6,87
13.08.2022 00:00,18.3,77
12.08.2022 23:00,21.8,53
12.08.2022 22:00,22.4,47
12.08.2022 21:00,23.3,46
12.08.2022 20:00,25.7,41
12.08.2022 19:00,26.2,44
12.08.2022 18:00,27.0,42
