Data,Temperatura,Umidità
03.09.2022 16:20,26.0,48
03.09.2022 15:50,27.0,45
03.09.2022 14:50,25.0,47
03.09.2022 14:20,25.0,47
03.09.2022 13:50,26.0,45
03.09.2022 13:20,24.0,54
03.09.2022 12:50,24.0,54
03.09.2022 12:20,24.0,50
03.09.2022 11:50,24.0,50
03.09.2022 11:20,22.0,61
03.09.2022 10:50,22.0,57
03.09.2022 10:20,22.0,61
03.09.2022 09:50,21.0,69
03.09.2022 09:20,21.0,69
03.09.2022 08:50,20.0,73
03.09.2022 08:20,20.0,73
03.09.2022 07:50,19.0,78
03.09.2022 07:20,20.0,73
03.09.2022 06:50,19.0,78
03.09.2022 06:20,19.0,83
03.09.2022 05:50,20.0,73
03.09.2022 05:20,19.0,83
03.09.2022 04:50,19.0,83
03.09.2022 04:20,19.0,88
03.09.2022 03:50,19.0,83
03.09.2022 03:20,21.0,69
03.09.2022 02:50,22.0,65
03.09.2022 02:20,22.0,61
03.09.2022 01:50,22.0,65
03.09.2022 01:20,22.0,69
03.09.2022 00:50,23.0,65
03.09.2022 00:20,23.0,65
02.09.2022 23:50,22.0,69
02.09.2022 23:20,21.0,78
02.09.2022 22:50,21.0,78
02.09.2022 22:20,22.0,69
02.09.2022 21:50,23.0,65
02.09.2022 21:20,22.0,69
02.09.2022 20:50,23.0,65
02.09.2022 20:20,24.0,61
02.09.2022 19:50,24.0,61
02.09.2022 19:20,25.0,54
02.09.2022 18:50,25.0,54
02.09.2022 18:20,26.0,51
02.09.2022 17:50,27.0,45
02.09.2022 17:20,26.0,51
02.09.2022 16:50,27.0,48
02.09.2022 16:20,26.0,48
02.09.2022 15:50,26.0,48
02.09.2022 15:20,26.0,48
02.09.2022 14:50,26.0,48
02.09.2022 14:20,26.0,45
02.09.2022 13:50,25.0,47
02.09.2022 13:20,25.0,51
02.09.2022 12:50,25.0,47
02.09.2022 12:20,25.0,51
02.09.2022 11:50,24.0,54
02.09.2022 11:20,24.0,54
02.09.2022 10:50,22.0,61
02.09.2022 10:20,23.0,57
02.09.2022 09:50,23.0,57
02.09.2022 09:20,22.0,61
02.09.2022 08:50,22.0,61
02.09.2022 08:20,21.0,64
02.09.2022 07:50,21.0,64
02.09.2022 07:20,20.0,69
02.09.2022 06:50,20.0,64
02.09.2022 06:20,20.0,64
02.09.2022 05:50,20.0,64
02.09.2022 05:20,20.0,64
02.09.2022 04:20,20.0,69
02.09.2022 03:50,20.0,69
02.09.2022 03:20,21.0,69
02.09.2022 02:50,21.0,69
02.09.2022 02:20,21.0,64
02.09.2022 01:50,21.0,60
02.09.2022 01:20,21.0,60
02.09.2022 00:50,21.0,64
02.09.2022 00:20,22.0,61
01.09.2022 23:50,22.0,57
01.09.2022 23:20,22.0,61
01.09.2022 22:50,23.0,53
01.09.2022 22:20,23.0,57
01.09.2022 21:50,24.0,54
01.09.2022 21:20,24.0,54
01.09.2022 20:50,24.0,57
01.09.2022 20:20,25.0,54
01.09.2022 19:50,26.0,51
01.09.2022 19:20,26.0,48
01.09.2022 18:50,27.0,45
01.09.2022 18:20,28.0,45
01.09.2022 17:50,28.0,42
01.09.2022 17:20,28.0,42
01.09.2022 16:50,28.0,45
01.09.2022 16:20,28.0,45
01.09.2022 15:50,28.0,48
01.09.2022 15:20,28.0,48
01.09.2022 14:50,28.0,48
01.09.2022 14:20,27.0,51
01.09.2022 13:50,26.0,58
01.09.2022 13:20,26.0,58
01.09.2022 12:50,26.0,61
01.09.2022 12:20,26.0,58
01.09.2022 11:50,25.0,65
01.09.2022 11:20,25.0,69
01.09.2022 10:50,23.0,74
01.09.2022 10:20,24.0,69
01.09.2022 09:50,23.0,69
01.09.2022 09:20,23.0,69
01.09.2022 08:50,22.0,73
01.09.2022 08:20,22.0,73
01.09.2022 07:50,21.0,78
01.09.2022 07:20,21.0,83
01.09.2022 06:50,21.0,78
01.09.2022 06:20,21.0,83
01.09.2022 05:50,22.0,73
01.09.2022 05:20,21.0,78
01.09.2022 04:50,22.0,78
01.09.2022 04:20,21.0,83
01.09.2022 03:50,21.0,88
01.09.2022 03:20,21.0,88
01.09.2022 02:50,22.0,83
01.09.2022 02:20,22.0,78
01.09.2022 01:50,22.0,78
01.09.2022 01:20,22.0,83
01.09.2022 00:50,22.0,83
01.09.2022 00:20,23.0,78
31.08.2022 23:50,24.0,74
31.08.2022 23:20,24.0,69
31.08.2022 22:50,24.0,74
31.08.2022 22:20,24.0,74
31.08.2022 21:50,25.0,65
31.08.2022 21:20,25.0,65
31.08.2022 20:50,25.0,65
31.08.2022 20:20,25.0,65
31.08.2022 19:50,26.0,61
31.08.2022 19:20,26.0,61
31.08.2022 18:50,27.0,58
31.08.2022 18:20,27.0,58
31.08.2022 17:50,27.0,58
31.08.2022 17:20,27.0,58
31.08.2022 16:50,27.0,58
31.08.2022 16:20,27.0,58
31.08.2022 15:50,27.0,58
31.08.2022 15:20,27.0,58
31.08.2022 14:50,26.0,61
31.08.2022 14:20,26.0,61
31.08.2022 13:50,25.0,65
31.08.2022 13:20,25.0,69
31.08.2022 12:50,24.0,69
31.08.2022 12:20,25.0,69
31.08.2022 11:50,23.0,78
31.08.2022 11:20,22.0,83
31.08.2022 10:50,21.0,88
31.08.2022 10:20,20.0,94
31.08.2022 09:50,20.0,94
31.08.2022 09:20,20.0,94
31.08.2022 08:50,19.0,100
31.08.2022 08:20,20.0,88
31.08.2022 07:50,21.0,83
31.08.2022 07:20,21.0,83
31.08.2022 06:50,20.0,88
31.08.2022 06:20,20.0,94
31.08.2022 05:50,20.0,88
31.08.2022 04:50,21.0,83
31.08.2022 04:20,21.0,83
31.08.2022 03:20,20.0,88
31.08.2022 02:50,20.0,88
31.08.2022 02:20,21.0,83
31.08.2022 01:50,21.0,83
31.08.2022 01:20,21.0,83
31.08.2022 00:50,21.0,83
31.08.2022 00:20,20.0,88
30.08.2022 23:50,21.0,83
30.08.2022 23:20,22.0,78
30.08.2022 22:50,23.0,83
30.08.2022 22:20,23.0,83
30.08.2022 21:50,24.0,74
30.08.2022 21:20,25.0,69
30.08.2022 20:50,25.0,69
30.08.2022 20:20,27.0,62
30.08.2022 19:50,27.0,62
30.08.2022 19:20,28.0,58
30.08.2022 18:50,28.0,55
30.08.2022 18:20,30.0,49
30.08.2022 17:50,30.0,49
30.08.2022 17:20,29.0,51
30.08.2022 16:50,28.0,55
30.08.2022 16:20,29.0,51
30.08.2022 15:50,28.0,55
30.08.2022 15:20,27.0,62
30.08.2022 14:50,27.0,58
30.08.2022 14:20,27.0,58
30.08.2022 13:50,26.0,61
30.08.2022 13:20,26.0,61
30.08.2022 12:50,26.0,61
30.08.2022 12:20,26.0,61
30.08.2022 11:50,26.0,61
30.08.2022 11:20,26.0,61
30.08.2022 10:50,26.0,65
30.08.2022 10:20,26.0,65
30.08.2022 09:50,25.0,69
30.08.2022 09:20,25.0,74
30.08.2022 08:50,24.0,78
30.08.2022 08:20,23.0,83
30.08.2022 07:50,23.0,83
30.08.2022 07:20,23.0,83
30.08.2022 06:50,23.0,83
30.08.2022 06:20,23.0,83
30.08.2022 05:50,23.0,78
30.08.2022 05:20,24.0,74
30.08.2022 04:50,24.0,69
30.08.2022 04:20,23.0,78
30.08.2022 03:50,23.0,78
30.08.2022 03:20,24.0,69
30.08.2022 02:50,25.0,65
30.08.2022 02:20,25.0,65
30.08.2022 01:50,25.0,65
30.08.2022 01:20,25.0,65
30.08.2022 00:50,25.0,65
30.08.2022 00:20,26.0,61
29.08.2022 23:50,25.0,65
29.08.2022 23:20,25.0,69
29.08.2022 22:50,26.0,61
29.08.2022 22:20,25.0,65
29.08.2022 21:50,25.0,65
29.08.2022 21:20,25.0,65
29.08.2022 20:50,26.0,61
29.08.2022 20:20,28.0,51
29.08.2022 19:50,29.0,48
