Data,Temperatura,Umidità
03.09.2022 16:00,20.8,100
03.09.2022 15:00,22.0,100
03.09.2022 14:00,23.8,82
03.09.2022 13:00,24.0,76
03.09.2022 12:00,24.0,75
03.09.2022 11:00,22.8,80
03.09.2022 10:00,21.6,90
03.09.2022 09:00,20.0,100
03.09.2022 08:00,18.4,100
02.09.2022 20:00,24.0,92
02.09.2022 19:00,25.2,86
02.09.2022 18:00,26.2,73
02.09.2022 17:00,26.0,74
02.09.2022 16:00,25.2,72
02.09.2022 15:00,25.4,74
02.09.2022 14:00,24.0,78
02.09.2022 13:00,23.6,81
02.09.2022 12:00,23.0,82
02.09.2022 11:00,22.0,87
02.09.2022 10:00,21.4,94
02.09.2022 09:00,19.0,100
02.09.2022 08:00,18.0,100
01.09.2022 20:00,25.4,69
01.09.2022 19:00,26.0,68
01.09.2022 18:00,26.6,67
01.09.2022 17:00,26.6,66
01.09.2022 16:00,22.6,63
01.09.2022 15:00,26.6,63
01.09.2022 14:00,26.4,67
01.09.2022 13:00,24.8,78
01.09.2022 12:00,24.2,81
01.09.2022 11:00,23.6,83
01.09.2022 10:00,22.6,98
01.09.2022 09:00,20.4,100
01.09.2022 08:00,18.8,100
31.08.2022 20:00,25.2,82
31.08.2022 19:00,26.4,81
31.08.2022 18:00,27.0,78
31.08.2022 17:00,27.0,77
31.08.2022 16:00,26.6,77
31.08.2022 15:00,26.0,78
31.08.2022 14:00,25.6,80
31.08.2022 13:00,24.4,85
31.08.2022 12:00,24.2,90
31.08.2022 11:00,22.0,100
31.08.2022 10:00,21.6,100
31.08.2022 09:00,21.2,100
31.08.2022 08:00,19.4,100
30.08.2022 20:00,23.4,100
30.08.2022 19:00,23.4,100
30.08.2022 18:00,23.4,100
30.08.2022 17:00,23.4,100
30.08.2022 16:00,24.0,100
30.08.2022 15:00,26.0,99
30.08.2022 14:00,27.6,82
30.08.2022 13:00,27.8,77
30.08.2022 12:00,26.4,82
30.08.2022 11:00,26.0,82
30.08.2022 10:00,25.0,81
30.08.2022 09:00,22.4,99
30.08.2022 08:00,20.4,100
29.08.2022 20:00,27.4,85
29.08.2022 19:00,29.4,75
29.08.2022 18:00,30.2,68
29.08.2022 17:00,30.2,65
29.08.2022 16:00,30.0,65
29.08.2022 15:00,29.2,68
29.08.2022 14:00,29.0,70
29.08.2022 13:00,27.6,73
29.08.2022 12:00,26.0,75
29.08.2022 11:00,25.6,75
29.08.2022 10:00,23.4,82
29.08.2022 09:00,21.2,92
29.08.2022 08:00,18.8,100
28.08.2022 20:00,25.8,90
28.08.2022 19:00,27.6,80
28.08.2022 18:00,28.0,80
28.08.2022 17:00,27.0,85
28.08.2022 16:00,27.4,83
28.08.2022 15:00,28.0,74
28.08.2022 14:00,27.6,75
28.08.2022 13:00,26.6,77
28.08.2022 12:00,25.2,86
28.08.2022 11:00,24.4,89
28.08.2022 10:00,23.0,93
28.08.2022 09:00,20.4,100
28.08.2022 08:00,18.8,100
27.08.2022 20:00,25.8,98
27.08.2022 19:00,26.6,75
27.08.2022 18:00,26.2,76
27.08.2022 17:00,25.6,80
27.08.2022 16:00,25.8,82
27.08.2022 15:00,26.0,73
27.08.2022 14:00,26.4,73
27.08.2022 13:00,25.2,76
27.08.2022 12:00,25.6,81
27.08.2022 11:00,24.8,85
27.08.2022 10:00,24.0,85
27.08.2022 09:00,23.0,100
27.08.2022 08:00,21.4,100
26.08.2022 20:00,25.2,100
26.08.2022 19:00,26.0,90
26.08.2022 18:00,26.8,97
26.08.2022 17:00,29.8,61
26.08.2022 16:00,30.6,55
26.08.2022 15:00,30.6,52
26.08.2022 14:00,29.4,62
26.08.2022 13:00,28.2,69
26.08.2022 12:00,28.0,71
26.08.2022 11:00,27.0,75
26.08.2022 10:00,25.0,82
26.08.2022 09:00,22.2,98
26.08.2022 08:00,19.4,100
25.08.2022 20:00,28.0,69
25.08.2022 19:00,30.0,59
25.08.2022 18:00,30.4,56
25.08.2022 17:00,30.6,57
25.08.2022 16:00,30.4,57
25.08.2022 15:00,30.0,57
